linha,palavra_chave,score
78,adicional,0.4894877875820013
78,cartao,0.2438179987588564
78,cliente,0.2904220307691429
78,cpf,0.26503165537196427
78,efetuo,0.553867728606844
78,vinculo,0.4894877875820013
79,cartao,0.5815126866416781
79,cpf,0.3160539228953131
79,credito,0.41161049136246003
79,vincular,0.6265219202052034
80,cartao,0.33654918872967127
80,cpf,0.36583102583552174
80,credito,0.4764373336054704
80,vincular,0.725196367371238
81,cpf,0.368170535165754
81,excluir,0.6341009710993629
81,restricao,0.6799753050564462
82,banco,0.6233568602337805
82,cpf,0.3375146525541301
82,pendencia,0.7053439473836491
83,cliente,0.32217348407741975
83,cpf,0.2940072127994497
83,federal,0.4815480461124769
83,irregular,0.6144213487204668
83,receita,0.4476180185170094
84,bloqueio,0.3858383610608068
84,cartao,0.21342394117335703
84,cpf,0.2319931289450341
84,desbloquear,0.4172555502973819
84,federal,0.3799765212944129
84,irregularidade,0.3995623068700943
84,junto,0.3858383610608068
84,receita,0.3532032554547301
85,bloqueio,0.3858383610608068
85,cartao,0.21342394117335703
85,cpf,0.2319931289450341
85,desbloquear,0.4172555502973819
85,federal,0.3799765212944129
85,irregularidade,0.3995623068700943
85,junto,0.3858383610608068
85,receita,0.3532032554547301
86,cpf,0.302857576406082
86,credito,0.39442432701157215
86,grupo,0.5216123099515196
86,pessoa,0.4441265863647384
86,retirar,0.5323334594649739
87,bloqueio,0.3858383610608068
87,cartao,0.21342394117335703
87,cpf,0.2319931289450341
87,desbloquear,0.4172555502973819
87,federal,0.3799765212944129
87,irregularidade,0.3995623068700943
87,junto,0.3858383610608068
87,receita,0.3532032554547301
88,bloqueio,0.3693484287433705
88,cartao,0.2043026440187837
88,cpf,0.22207822316973458
88,credito,0.28922193315118017
88,desbloquear,0.39942291239025035
88,federal,0.36373711186624486
88,irregularidade,0.3824858415368606
88,junto,0.3693484287433705
88,receita,0.3381080799498021
89,cpf,0.20938265332595163
89,faco,0.3680323719143411
89,investimentos,0.3680323719143411
89,primeiro,0.4375714834688639
89,segundo,0.4375714834688639
89,titular,0.41506468522109585
89,transferir,0.36062023199540655
90,cheque,0.4504646254473945
90,cpf,0.36586725382520396
90,desconto,0.6084905282482791
90,limite,0.5412596889027232
91,cartao,0.24394830986744323
91,cpf,0.26517330434372977
91,debito,0.3139008787212412
91,divergente,0.5054361746957979
91,emitido,0.5256599453113641
91,nome,0.48974939950796337
92,cartao,0.26473495975939615
92,confirmo,0.6013836205332028
92,contrato,0.4296344675851355
